ticker,chunk,raw,norm,conviction,layer,industry,momentum,flow,real_fields,data_source
BHAV,3,5.0,4.12,C,9,,,neutral,0,polygon
BHE,3,5.41,6.54,B,2,Electronic Components,0.0,neutral,7,simulated
BHF,1,5.0,4.09,C,9,,,neutral,0,finnhub
BHFAL,1,5.0,4.09,C,9,,,neutral,0,finnhub
BHFAM,1,5.0,4.09,C,9,,,neutral,0,finnhub
BHFAP,3,5.0,4.12,C,9,,,neutral,0,finnhub
BHK,1,5.0,4.09,C,9,,,neutral,0,finnhub
BHM,3,5.0,4.12,C,9,,,neutral,0,polygon
BHP,1,5.15,5.0,A,9,Other Industrial Metals & Mining,-0.7,neutral,7,polygon
BHRB,1,5.0,4.09,C,9,,,neutral,0,polygon
BHST,1,5.0,4.09,C,9,,,neutral,0,polygon
